Prop;;;;;
#P_id;dens;E;v;A;Iz;
0;7800;200000000000;0.3;0.0025;5.20833E-7;
Nodes;;;;;
#N_id;x;y;phi;;
0;0;0;;;
1;10;0;;;
2;20;0;;;
3;0;10;;;
4;10;10;;;
5;20;10;;;
6;0;20;;;
7;10;20;;;
8;20;20;;;
Elements;;;;;
#E_id;from;to;prop;;
0;0;1;0;;
1;1;2;0;;
2;4;3;0;;
3;5;4;0;;
4;6;7;0;;
5;7;8;0;;
6;3;0;0;;
7;4;1;0;;
8;5;2;0;;
9;6;3;0;;
10;7;4;0;;
11;8;5;0;;
In_Conds_U; ;;;;
#I_U_id;N_id;u_x;u_y;u_r;
0;0;1;1;0;
1;1;0;0;0;
2;2;1;1;0;
3;3;0;0;0;
4;4;0;0;0;
5;5;0;0;0;
6;6;0;0;0;
7;7;0;0;0;
8;8;0;0;0;
In_Conds_F;;;;;
#I_F_id;N_id;Fx;Fy;M;
0;1;0;0;0;
1;1;0;-100;0;
2;7;0;0;0;
