Prop;;;;;
#P_id;dens;E;v;A;Iz;
0;7800;200000000000;0.3;0.01;8.333333E-6;
Nodes;;;;;
#N_id;x;y;phi;;
0;10;10;;;
1;15;10;;;
2;20;10;;;
3;25;10;;;
4;30;10;;;
5;10;15;;;
6;15;15;;;
7;20;15;;;
8;25;15;;;
9;30;15;;;
10;10;20;;;
11;15;20;;;
12;20;20;;;
13;25;20;;;
14;30;20;;;
15;35;20;;;
16;40;20;;;
17;45;20;;;
18;50;20;;;
19;10;25;;;
20;15;25;;;
21;20;25;;;
22;25;25;;;
23;30;25;;;
24;35;25;;;
25;40;25;;;
26;45;25;;;
27;50;25;;;
28;10;30;;;
29;15;30;;;
30;20;30;;;
31;25;30;;;
32;30;30;;;
33;35;30;;;
34;40;30;;;
35;45;30;;;
36;50;30;;;
Elements;;;;;
#E_id;from;to;prop;;
0;1;0;0;;
1;1;2;0;;
2;2;3;0;;
3;3;4;0;;
4;4;9;0;;
5;3;8;0;;
6;2;7;0;;
7;6;1;0;;
8;5;0;0;;
9;5;6;0;;
10;7;6;0;;
11;7;8;0;;
12;8;9;0;;
13;14;9;0;;
14;8;13;0;;
15;7;12;0;;
16;11;6;0;;
17;10;5;0;;
18;10;11;0;;
19;11;12;0;;
20;12;13;0;;
21;13;14;0;;
22;14;15;0;;
23;15;16;0;;
24;17;16;0;;
25;17;18;0;;
26;27;18;0;;
27;17;26;0;;
28;16;25;0;;
29;24;15;0;;
30;23;14;0;;
31;22;13;0;;
32;12;21;0;;
33;11;20;0;;
34;19;10;0;;
35;19;20;0;;
36;20;21;0;;
37;21;22;0;;
38;23;22;0;;
39;23;24;0;;
40;24;25;0;;
41;25;26;0;;
42;26;27;0;;
43;27;36;0;;
44;35;26;0;;
45;34;25;0;;
46;33;24;0;;
47;32;23;0;;
48;31;22;0;;
49;21;30;0;;
50;29;20;0;;
51;19;28;0;;
52;28;29;0;;
53;29;30;0;;
54;30;31;0;;
55;31;32;0;;
56;33;32;0;;
57;33;34;0;;
58;35;34;0;;
59;35;36;0;;
In_Conds_U; ;;;;
#I_U_id;N_id;u_x;u_y;u_r;
0;0;1;1;1;
1;1;1;1;1;
2;2;1;1;1;
3;3;1;1;1;
4;4;1;1;1;
5;5;1;1;1;
6;6;0;0;0;
7;7;0;0;0;
8;8;0;0;0;
9;0;0;0;0;
10;10;0;0;0;
11;11;0;0;0;
12;12;0;0;0;
13;13;0;0;0;
14;14;0;0;0;
15;15;0;0;0;
16;16;0;0;0;
17;17;0;0;0;
18;18;0;0;0;
19;19;0;0;0;
20;20;0;0;0;
21;21;0;0;0;
22;22;0;0;0;
23;23;0;0;0;
24;24;0;0;0;
25;25;0;0;0;
26;26;0;0;0;
27;27;0;0;0;
28;28;0;0;0;
29;29;0;0;0;
30;30;0;0;0;
31;31;0;0;0;
32;32;0;0;0;
33;33;0;0;0;
34;34;0;0;0;
35;35;0;0;0;
36;36;0;0;0;
In_Conds_F;;;;;
#I_F_id;N_id;Fx;Fy;M;
0;36;0;1000;0;
